sentence,aspect,label
and in the end you wind up at the exit which has a nice air conditioned large souvenir shop with benches you can sit and some drinks or light snacks you can order,Entertainment & Shopping,4
it is great but not the white sands and sun lounges with shady palm trees it is the grungy sri lanka with locals playing soccer warm beers served on plastic outdoor furniture and plenty of hawkers with dancing monkeys and cobra snakes,Nature & Activities,0
however it was not available not sure if the facility is not available or person was not available,Accommodation,0
you should not miss the great buddha statues and the beautiful archeological remains here,Religious & Historical,0
when you approach the orphanage you are advised not to purchase any fruit but to buy inside the place was heaving with local school children coach loads not sure if this is part of their school curriculum but vast amount visiting,Entertainment & Shopping,2
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
they are not super super impressive but it is a good walk through the forest although our tuk tuk driver went with us his english was not good so a proper guide would be better if you are really into the history of the area,Nature & Activities,0
the beach is unspoilt,Nature & Activities,2
although we enjoyed our visit to tea factory i am glad that this was not the main event,Entertainment & Shopping,1
so my experience may be slightly bias as today while visiting lovers leap falls my partner got down on one knee and asked me to marry him infront of it it was just so perfect as i am pregnant with twins we did not walk up the very bumpy steep road that would have easily taken 90mins at least we got a tuk tuk from our hotel at araliyah green hills which is 10 mins away by car all the way to 5 mins walk from the fall the driver waited and took us back all for 2000sr which is around 10,Accommodation,0
most large animals were kept in appalling conditions the lions tigers cats were kept in concrete floored cages with absolutely nothing at all,Nature & Activities,0
in my mind this is a total waste of money and time for a western tourist as some tour operators charge exorbitant prices for a non satisfactory experience with the local mass,Crowds & Sustainability,2
it was close to the train track but it did not bother too much,Transportation,1
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Transportation,1
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
at the beginning the tour i was a little apprehensive as to whether we would be fortunate enough to see any elephants this was not a problem although the drive through the woodland area was exciting in the jeeps and we spotted some wonderful trees and birds,Transportation,0
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
you can spend ages in this place without getting tired if you are a nature lover,Nature & Activities,1
the views were mind blowing and soo many trees to learn about and beautiful nature,Nature & Activities,4
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
visited this museum after the turtle sanctuary it is free to look around but they do have a donation box i recommend you contribute to,Nature & Activities,3
i stayed in mirissa for a couple of days and i visited the mirissa beach almost everyday on my trip,Nature & Activities,1
this is a massive kovil,Religious & Historical,2
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
many birds to see too the driver and the guide are well versed in how to spot the animals and we were not disappointed crocodiles water buffaloes cranes eagles owls and the elephants what a thrill,Nature & Activities,1
in january my daughter and i spent an afternoon in wilpattu and it was the highlight of our 2 week trip,Transportation,2
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
we enjoyed a very nice morning in the ancient city of polonnaruwa,Religious & Historical,4
got chased out of temple by a rude priest,Religious & Historical,1
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
there are large fish in the lake and people feed these fish for prosperity as it is near the temple,Religious & Historical,2
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
i liked the fort in jaffna better than the one in galle,Religious & Historical,3
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
there are no facilities on the island no toilets or shop and the ground is quite stony so take some water shoes if you have them,Accommodation,0
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
we were on a tour bus en route to the pedro tea gardens and stopped to photograph this lovely part of the local scenery,Nature & Activities,3
close to the city and easy to find allow a couple of hours and take drinks there is no where to buy food or drink,Food & Dining,1
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
nice place with a massive buddha statue a stupa and a rock to climb to enjoy the view from the top,Religious & Historical,3
although you go for the spectacular views do not rush and try to just enjoy the peace and quiet,Wellness & Relaxation,1
we had a free cup of tea and also had the chance to taste and compare green tea white tea and brown tea,Crowds & Sustainability,2
way down from the road to the beach is a bit difficult i had troubles with my flipflops,Transportation,1
the park was so quiet we only saw one other jeep the whole afternoon which was so refreshing after our busy safari at kaudulla np,Transportation,2
at the end of the tour they take you to a shop where there are plenty of medicinal ayurvedic medicines for treatment of joint painsheadachescholesterol etc,Entertainment & Shopping,2
i know this is a free service and that is great however i would not mind paying for a more organised and insightful tour,Accommodation,1
little tea shop with black tea and samosas,Food & Dining,2
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
beautiful quiet beach hope it stays like like this and does not get over developed,Wellness & Relaxation,1
the beach and rear of the beach leading to the road is a mess,Transportation,2
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
the climb up after seeing the fall is a bit of a walk though perfect for morning exercise,Nature & Activities,4
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
beautiful colonial style building showcasing the british opulence of the time but nothing has been upgraded for many decades,Religious & Historical,1
in hindsight we should have taken tuk tuk up to top early and then just walked down while still clear,Transportation,2
postcard perfect beach,Nature & Activities,4
the nay is great if you want to learn how to surf,Nature & Activities,4
but still better than 35 per person from the hotel,Accommodation,4
"The historical museum was fascinating, but the walk to get there was exhausting.",Transportation,1
the beaches at panama a village offers big bays with wide beaches and surfs and much less crowd,Crowds & Sustainability,2
deepest on the left and can swim about a bit,Nature & Activities,2
a quite time with you and nature,Nature & Activities,2
our guide was great seeing all the hidden animals that we would have never noticed,Nature & Activities,1
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
once you leave behind the entrance you will soon forget about bureaucracy and everything else and just only be entranced by nature,Nature & Activities,1
during the drive he seemed very knowledgable in terms of the different animals and birds told us he has been working at the park for over 10 years and that he would know all the best spots to see the elephants,Transportation,4
a holy place in the area of abhayagiri dagoba very popular with local pilgrims,Religious & Historical,3
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Transportation,1
our driver stopped at a couple of stunning view points on the way view of haputale town and eagle rock notable mentions,Transportation,1
beautiful ancient place a must visit,Religious & Historical,4
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Transportation,1
after this first waterfall he asked if we wanted to return to the lodge,Nature & Activities,3
there are also many tuk tuk drivers that try to get you to pay 30 usd to take a tuk tuk around the base of the rock,Transportation,1
would recommend this way to see the gardens well worth the price he also pointed out animals we passed,Nature & Activities,3
an amazing park that has a range of animals,Nature & Activities,4
the museum might not have anything special but its worth a look if you are a museum person looking at historical artifact,Religious & Historical,0
stopped here on a quick visit to anuradhapura,Religious & Historical,3
this visit was very impersonal and did not impress our sri lankan driver either who accompanied us,Transportation,0
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
regular buses goes to mihintale from anuradhapura new town bus stand,Transportation,2
a nice place for an evening walk and for a boat ride,Transportation,4
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
there must have been 100 elephant there if not more,Nature & Activities,1
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
you are not allowed to take pictures inside the temple,Religious & Historical,2
delightful walk alongadjacent to the fort walls,Nature & Activities,4
other breaks in the area include whiskey point and pottuvil point to the north and elephant rock peanut farm and okanda to the south,Nature & Activities,0
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
and also you could walk among tea trees on tea plantations behind the factory,Nature & Activities,0
it is also interesting to walk through the museum of the tooth relic and read the signs inside the new shrine,Nature & Activities,3
the temple is about 1,Religious & Historical,2
we saw some wildlife and had a quiet morning walking around,Wellness & Relaxation,2
great atmosphere in surf place where everything is dedicated mostly to surf people are great and supporting you must try to have at least one lesson of surf,Nature & Activities,4
interesting 24h walk particularly if you have not walked in a tropical forest before,Nature & Activities,0
"The spa was peaceful, but the food was overpriced and bland.",Wellness & Relaxation,3
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
we were lucky enough to see a family group of about 10 elephants along with 2 week old calf a couple of smaller family groups numerous single elephants including one asleep leaning against a tree but the highlight was a mother and calf pair who crossed the track in front of us and went to the lake edge to drink,Food & Dining,2
there is some distance to walk down from the car park,Nature & Activities,1
however the rest of the museum was not appealing to me being a collection of machines used during the manufacturing process,Wellness & Relaxation,1
it is nice to take a walk around the lake after a meal,Food & Dining,4
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
we did not drive in a konvoi and it seemed that every time a car came close we took the other way,Transportation,0
the park has mainly elephants to see make sure to book your car with a proper agency it should cost around 3600 rp for 2 the entrance 7800 for 2 do not book at the entrance or you ll get scammed,Transportation,1
caution the walk from the place you remove the footwear to the covered portion of the temple can be cruel on sensitive feet we reached at noon and we really felt the heat,Religious & Historical,1
you can climb up the mountain and go to the top from where you can see the almost start of the fall,Nature & Activities,3
worst we have had on our trip,Transportation,0
had a great time staying at marissa we stayed across the main road at the southern end of the beach at the spice garden and walked the beach each day before breakfast then came back to swim in the beautiful warm water,Food & Dining,4
i think i had buddha overload afterward,Religious & Historical,2
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
do not fly from europe or the americas just to come to arugam bay and surf,Nature & Activities,1
our driver had trouble finding the place as it is tucked out of the way,Transportation,1
the pre walk information sessions was really informative and revealing walked with the first elephant born there rani just a wonderful experience as she accepted food and gently walked around with us,Food & Dining,4
near the taj hotel on the north side where the beach dog legs to the south there is safer bathing,Nature & Activities,0
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
can have a swim in the lovely clear water or,Nature & Activities,3
the camp is only a few minutes drive from the national park is entrance gate and our journeys to and from the park were partly taken on the wrong side of the road,Transportation,1
the temple itself is pretty,Religious & Historical,3
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
an excellent tour of the sea turtle hatchery,Nature & Activities,4
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
what an amazing place probably the highlight of our trip to sri lanka definitely a must do,Transportation,3
we spent around 3 hours by the lake had lunch lake side and walked around as far as we could lovely location and you can take a number of different boat trips on the lake a number of street styles eating cabins are also available but we chosen a hotel restaurant right on lake so able to enjoy the wonderful views location,Accommodation,3
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
suspension bridge was fun to walk across but not quite sure why there is a gate in the middle with a sign that states stop,Nature & Activities,1
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Crowds & Sustainability,1
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
well arrived at around 1430 hours just to be told as the grand hotel which we were booked in cannot be accessed until 1600 hours as the elephants are still out there we must pay an entry or wait till 4pm although check in starts at 3pm what a drama so are in a local restaurant which was incidentally amazing later meeting another tourist from uk we sat down had few cups of tea but we were virtually the only ones there progressing to dinner which were not so good it was like the taste ran away from the food in boardum,Accommodation,0
lord buddha with historical background is clearly depicted at this place and is quite relaxing and divine location,Religious & Historical,2
there is no where to go eat or shop or anything like that but all the hotels r along the beach and offer dining,Nature & Activities,2
followed by a tour of the factory where the leafs are dried out and made into the tea we drink,Food & Dining,1
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Crowds & Sustainability,1
it is nice to see devotees in spotless white dress the temple is very big and has lot of old paintings and worth visiting,Religious & Historical,3
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
it is quite a climb even in a car but the views are well worth it and it was not crowded at the top despite the numbers seen making their way up and down,Transportation,1
so you do not need to hike there,Nature & Activities,0
our driver was fantastic following leopard tracks in the sand while driving on some crazy terrain and pointing out other wildlife at the same time it was not crowded at all and the landscape was really interesting,Transportation,0
also not far off the main road are the new homes built and donated by various countries for those who survived and did not want to rebuild so close to the ocean,Transportation,0
our overnight stay at the no frills 4 bedroom hotel was inexpensive and quite comfortable with excellent service,Accommodation,0
"Although the weather was hot, shopping and food were both amazing.",Entertainment & Shopping,4
our guide told us that this was a good beach for surfing not sure why as the info did not elicit any excitement on the bus,Nature & Activities,1
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
"The spa was peaceful, but the food was overpriced and bland.",Wellness & Relaxation,3
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
we were pleasantly surprised that the climb while strenuous and very sweaty was not as difficult as we expected,Nature & Activities,0
usually hotel charge 5000,Accommodation,1
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
no shoes or sandals are allowed inside the complex so if you visit at midday as we did then watch out for boiling hot sand and concrete between the each building as well as from the car park,Nature & Activities,0
very clean beach and one can enjoy morning walk,Nature & Activities,4
i went diving and she snorkelled,Nature & Activities,2
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
this is a serene and informative place quite a winding road to get to it but one of the best outings in the south of sri lanka without a doubt,Wellness & Relaxation,0
we did find the shop a bit expensive,Entertainment & Shopping,1
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
the sand itself is a tan color and the water seemed clean,Nature & Activities,3
this tree is the branch of original maha bodhi tree of bodh gaya where lord buddha got enlightenment,Religious & Historical,3
ancient technology is amazing here,Religious & Historical,4
in the time we were on safari we did not saw another jeep,Transportation,2
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
the temple is nice rockcut structures a steep climb pond ministupa etc,Religious & Historical,4
we even saw a lone elephant few crocs lots of monkeys and peacocks,Nature & Activities,1
this was one of the best days of our trip and i would happily recommend it,Transportation,4
beautiful tropical plants at every turn and an interesting house filled with art that gives a insight in to the life of the owner bevis bawa,Entertainment & Shopping,4
walk to jungle beach is nice but the beach are pretty messy at the moment with choppy waves not the best swimming spot for the off season,Crowds & Sustainability,0
if i was not laughing i was in awe at all the amazing animals we were seeing,Nature & Activities,0
apart from it it is typical hindu temple with lot of statues,Religious & Historical,2
perfect beach quiet and relaxing and not crowded,Wellness & Relaxation,1
we saw a lot and we mean a lot of temples plus the ruins of the royal palace and chamber council in polonnaruwa,Religious & Historical,1
went for a afternoon to this place we were lucky as our tour guide got us a buggy which was good as the gardens are huge there are so many different species of tree which have been donated from other countries we found it so interesting the orchid house is amazing so many different types in the hot house the monkeys and fruit bats in the trees not sure how long it would take to walk round but in the bug took over a hour,Nature & Activities,0
one tourist the first thing he did was swim to the rope and duck under it into the protected area so obviously the rules did not apply to him,Nature & Activities,0
"The spa was peaceful, but the food was overpriced and bland.",Wellness & Relaxation,3
"The spa was peaceful, but the food was overpriced and bland.",Wellness & Relaxation,3
there is a lovely shop with all of the teas and there is no pressure to buy at all,Entertainment & Shopping,1
especially in a country like sri lanka where animals are pampered so well like in the great elephant orphanage at the pinnewala,Nature & Activities,4
we came to the park to see the elephants which we saw they were in a pack witch was lovely to see it was a beautiful day for us just being with them in there nature setting,Nature & Activities,4
visiting and promoting this so called sanctuary only makes the problem worse with more elephants being tortured and put into chains do not visit here or it will ruin your wonderful trip to such a beautiful country with the friendliest people,Religious & Historical,0
it is though an interesting experience to visit this cave temple,Religious & Historical,3
the painting on the walls are remarkable,Accommodation,4
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Crowds & Sustainability,1
at the top we were greeted with tea toffee rotti and corn cakes so delicious and just what we fancied after the hike,Nature & Activities,4
from my blog a quick ride from abhayagiri was kuttam pokuna two baths which lay on the side of the road and are flanked by yet another shanty market,Entertainment & Shopping,1
"The spa was peaceful, but the food was overpriced and bland.",Wellness & Relaxation,3
if you want to eat relax and socialise look elsewhere,Wellness & Relaxation,2
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Crowds & Sustainability,1
even the blended teas were awfuljust so disappointing but who would ever drink cold stale tea who drinks tea cold unsweetened and without milk or lemon ok i guess lots do but not us,Food & Dining,0
the temple was built by king devanampiyatissa 250 210 because and this mountainous site of mihintale was filled with ruins stupas temples dedicated to the glory of historic encounter between tissa and mahinda,Religious & Historical,2
"Although the weather was hot, shopping and food were both amazing.",Entertainment & Shopping,4
great for morning sunrise walk along the beach which we did,Nature & Activities,4
we stayed at this beautiful hotel in january 2018 maybe off seasonlovely place all staff are very friendly and helpful the rooms were brilliant and well equipped the food was excellentthe only complaint was there was no wifithis lost them a star,Accommodation,0
this elephant safari was fantastic,Nature & Activities,3
also do as the signs request and do not climb on the walls,Accommodation,0
for the lions and tigers the poor elephants are chained up and are clearly in distress due to lack of food and water and with the heat you can see signs of neglect where the chains have rubbed the ankles of the elephants was a really sad sight to see,Food & Dining,1
he was the greatest 3 tea degustation at the end was really nice too i did not even know there were different types of black tea there is also a shop wehere you can buy tea,Entertainment & Shopping,0
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
after visiting a green tea factory directly in ella i did not expect much,Crowds & Sustainability,2
a short hike through the forest takes you to this small but beautiful beach with calm water,Nature & Activities,3
stay at a nearby hotel lagoon inn to take advantage of their good and resaonably priced safari tour,Accommodation,4
we arrived at about 2pm and were told the temple did not open until 3pm so if you want to see inside make sure you go later in the afternoon,Religious & Historical,0
quite dangerous waves,Nature & Activities,0
easy to dismiss as just another temple however consider the setting and the people and it is a good place to spend some time to reflect on your own inner peace,Religious & Historical,0
spending time on the mt lavinia beach is a must for those visiting colombo,Nature & Activities,2
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
to make it worse they even dare to ask tips after the tour coconut beach lodge,Accommodation,1
there are filthy and closed at the time of my visit bathroom facilities a small shack selling a drink across the road and lots of cows wandering about,Transportation,1
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
yes it is not as glamorous as other countries ancient sites but it is of great historical and cultural significance in sri lanka and several of the buildings are well preserved to say they were buried beneath jungle for centuries there is ample parking and good visitor facilities toilets wash facilities food and drink we travelled around by car which was straightforward enough,Transportation,1
the workmen doing the work have no safety gear and it was extraordinary to watch the climb the side of the temple like it was a normal flight of stairs,Nature & Activities,1
the restaurant is under renovation and so it is very dusty,Food & Dining,0
if you visit you will see a spectacular stupa,Religious & Historical,4
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
have to be confident to drive though and nerves of steel lol,Transportation,4
he was so very kind we also saw some great wild life a peacock in a tree wild monkeys,Nature & Activities,4
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
and it was worth every step of the climb,Nature & Activities,3
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
we visited this temple a part of a private guided tour and our guide added a great deal to our understanding of the temple,Religious & Historical,3
although the tuktuk driver is more informative than the guide but that is ok if you never visit tea factory before,Transportation,1
a walk through the narrow streets and the fort walls is a must,Religious & Historical,1
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
there is just one place where we were allowed out of the vehicle which is a seating area near a lake,Transportation,2
avoid visiting during peak noon hours as the distance between the shoe stand and the covered temple premise is a long one and you may get discomfort due to the heated stoned pathway,Religious & Historical,2
the fort walls are nice from the outside but there is really no need to walk inside,Accommodation,0
