place,user_type,unsafe_review_percent,Wellness & Relaxation,Transportation,Food & Dining,Nature & Activities,Entertainment & Shopping,Accommodation,Crowds & Sustainability,Religious & Historical
Abhayagiri Dagaba,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 33.33%; positive: 66.67%; very positive: 0.0%
Ariyapala Mask Museum,solo,3.12,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 96.88%; positive: 3.12%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 96.88%; positive: 3.12%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 9.38%; negative: 6.25%; neutral: 56.25%; positive: 28.12%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 96.88%; positive: 3.12%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Ariyapala Mask Museum,unknown,0.0,very negative: 0.0%; negative: 0.0%; neutral: 96.15%; positive: 3.85%; very positive: 0.0%,very negative: 0.0%; negative: 3.85%; neutral: 92.31%; positive: 3.85%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 96.15%; positive: 0.0%; very positive: 3.85%,very negative: 11.54%; negative: 7.69%; neutral: 53.85%; positive: 26.92%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 92.31%; positive: 7.69%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 96.15%; positive: 3.85%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 96.15%; positive: 3.85%; very positive: 0.0%
Arugam Bay,couple,2.97,very negative: 0.99%; negative: 0.99%; neutral: 95.05%; positive: 1.98%; very positive: 0.99%,very negative: 4.95%; negative: 5.94%; neutral: 83.17%; positive: 4.95%; very positive: 0.99%,very negative: 1.98%; negative: 3.96%; neutral: 82.18%; positive: 4.95%; very positive: 6.93%,very negative: 1.98%; negative: 1.98%; neutral: 77.23%; positive: 7.92%; very positive: 10.89%,very negative: 0.0%; negative: 0.0%; neutral: 97.03%; positive: 0.99%; very positive: 1.98%,very negative: 5.94%; negative: 2.97%; neutral: 85.15%; positive: 3.96%; very positive: 1.98%,very negative: 0.99%; negative: 1.98%; neutral: 97.03%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Arugam Bay,family,1.96,very negative: 0.0%; negative: 0.0%; neutral: 92.16%; positive: 5.88%; very positive: 1.96%,very negative: 1.96%; negative: 0.0%; neutral: 94.12%; positive: 1.96%; very positive: 1.96%,very negative: 3.92%; negative: 0.0%; neutral: 84.31%; positive: 1.96%; very positive: 9.8%,very negative: 5.88%; negative: 9.8%; neutral: 60.78%; positive: 11.76%; very positive: 11.76%,very negative: 1.96%; negative: 1.96%; neutral: 92.16%; positive: 1.96%; very positive: 1.96%,very negative: 1.96%; negative: 0.0%; neutral: 80.39%; positive: 13.73%; very positive: 3.92%,very negative: 1.96%; negative: 0.0%; neutral: 98.04%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Arugam Bay,group,0.5,very negative: 0.99%; negative: 0.99%; neutral: 95.05%; positive: 1.49%; very positive: 1.49%,very negative: 1.98%; negative: 0.99%; neutral: 92.57%; positive: 1.98%; very positive: 2.48%,very negative: 1.98%; negative: 1.98%; neutral: 85.15%; positive: 4.46%; very positive: 6.44%,very negative: 6.44%; negative: 2.48%; neutral: 65.84%; positive: 18.81%; very positive: 6.44%,very negative: 0.0%; negative: 0.0%; neutral: 97.52%; positive: 0.99%; very positive: 1.49%,very negative: 1.98%; negative: 2.97%; neutral: 82.67%; positive: 7.43%; very positive: 4.95%,very negative: 1.98%; negative: 1.49%; neutral: 94.55%; positive: 1.98%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Arugam Bay,solo,17.61,very negative: 0.0%; negative: 3.12%; neutral: 85.94%; positive: 2.34%; very positive: 8.59%,very negative: 4.76%; negative: 0.79%; neutral: 91.27%; positive: 0.0%; very positive: 2.38%,very negative: 4.84%; negative: 1.61%; neutral: 83.06%; positive: 7.26%; very positive: 2.42%,very negative: 11.85%; negative: 8.15%; neutral: 48.89%; positive: 13.33%; very positive: 17.04%,very negative: 3.15%; negative: 1.57%; neutral: 89.76%; positive: 1.57%; very positive: 3.15%,very negative: 0.74%; negative: 5.88%; neutral: 84.56%; positive: 4.41%; very positive: 4.41%,very negative: 0.82%; negative: 2.46%; neutral: 95.08%; positive: 0.82%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 99.17%; positive: 0.0%; very positive: 0.0%
Arugam Bay,unknown,0.0,very negative: 0.0%; negative: 2.59%; neutral: 90.52%; positive: 3.45%; very positive: 3.45%,very negative: 0.0%; negative: 1.72%; neutral: 94.83%; positive: 1.72%; very positive: 1.72%,very negative: 0.86%; negative: 1.72%; neutral: 89.66%; positive: 4.31%; very positive: 3.45%,very negative: 3.45%; negative: 4.31%; neutral: 53.45%; positive: 21.55%; very positive: 17.24%,very negative: 1.72%; negative: 1.72%; neutral: 94.83%; positive: 0.86%; very positive: 0.86%,very negative: 0.0%; negative: 1.72%; neutral: 94.83%; positive: 0.86%; very positive: 2.59%,very negative: 0.86%; negative: 3.45%; neutral: 94.83%; positive: 0.0%; very positive: 0.86%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Baker's Falls,group,0.0,very negative: 0.0%; negative: 0.0%; neutral: 96.55%; positive: 3.45%; very positive: 0.0%,very negative: 0.0%; negative: 6.9%; neutral: 93.1%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 93.1%; positive: 6.9%; very positive: 0.0%,very negative: 3.45%; negative: 10.34%; neutral: 41.38%; positive: 37.93%; very positive: 6.9%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Baker's Falls,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 33.33%; positive: 33.33%; very positive: 33.33%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Baker's Falls,unknown,0.0,very negative: 3.12%; negative: 0.0%; neutral: 95.31%; positive: 1.56%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 9.38%; negative: 4.69%; neutral: 37.5%; positive: 37.5%; very positive: 10.94%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bentota Beach,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 94.74%; positive: 0.0%; very positive: 5.26%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 68.42%; positive: 15.79%; very positive: 15.79%,very negative: 0.0%; negative: 5.26%; neutral: 94.74%; positive: 0.0%; very positive: 0.0%,very negative: 5.26%; negative: 5.26%; neutral: 52.63%; positive: 21.05%; very positive: 15.79%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bentota Beach,family,3.7,very negative: 3.7%; negative: 1.85%; neutral: 92.59%; positive: 1.85%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 1.85%; neutral: 94.44%; positive: 0.0%; very positive: 3.7%,very negative: 20.37%; negative: 3.7%; neutral: 38.89%; positive: 24.07%; very positive: 12.96%,very negative: 0.0%; negative: 0.0%; neutral: 98.15%; positive: 0.0%; very positive: 1.85%,very negative: 0.0%; negative: 0.0%; neutral: 90.74%; positive: 5.56%; very positive: 3.7%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bentota Beach,group,0.62,very negative: 1.25%; negative: 0.0%; neutral: 94.38%; positive: 3.12%; very positive: 1.25%,very negative: 0.62%; negative: 0.0%; neutral: 97.5%; positive: 0.62%; very positive: 1.25%,very negative: 1.25%; negative: 0.0%; neutral: 95.62%; positive: 1.88%; very positive: 1.25%,very negative: 10.0%; negative: 1.88%; neutral: 52.5%; positive: 25.0%; very positive: 10.62%,very negative: 0.0%; negative: 0.0%; neutral: 98.75%; positive: 0.0%; very positive: 1.25%,very negative: 1.88%; negative: 0.0%; neutral: 91.88%; positive: 3.12%; very positive: 3.12%,very negative: 1.25%; negative: 1.25%; neutral: 97.5%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bentota Beach,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 93.88%; positive: 6.12%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 93.88%; positive: 4.08%; very positive: 2.04%,very negative: 2.04%; negative: 2.04%; neutral: 91.84%; positive: 2.04%; very positive: 2.04%,very negative: 18.37%; negative: 2.04%; neutral: 42.86%; positive: 24.49%; very positive: 12.24%,very negative: 2.04%; negative: 0.0%; neutral: 97.96%; positive: 0.0%; very positive: 0.0%,very negative: 2.04%; negative: 0.0%; neutral: 97.96%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.96%; positive: 2.04%; very positive: 0.0%
Bentota Beach,unknown,1.06,very negative: 0.71%; negative: 0.71%; neutral: 92.23%; positive: 3.53%; very positive: 2.83%,very negative: 0.35%; negative: 0.71%; neutral: 97.88%; positive: 1.06%; very positive: 0.0%,very negative: 0.35%; negative: 0.71%; neutral: 95.41%; positive: 2.47%; very positive: 1.06%,very negative: 8.13%; negative: 4.95%; neutral: 42.05%; positive: 27.21%; very positive: 17.67%,very negative: 0.71%; negative: 0.0%; neutral: 97.53%; positive: 1.77%; very positive: 0.0%,very negative: 1.77%; negative: 1.41%; neutral: 92.58%; positive: 2.83%; very positive: 1.41%,very negative: 1.41%; negative: 0.35%; neutral: 96.47%; positive: 1.77%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bluefield Tea Gardens,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 75.0%; positive: 25.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 75.0%; positive: 25.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bluefield Tea Gardens,family,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 6.67%; negative: 0.0%; neutral: 90.0%; positive: 3.33%; very positive: 0.0%,very negative: 3.33%; negative: 3.33%; neutral: 86.67%; positive: 6.67%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 93.33%; positive: 3.33%; very positive: 3.33%,very negative: 10.0%; negative: 3.33%; neutral: 73.33%; positive: 13.33%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 93.33%; positive: 6.67%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bluefield Tea Gardens,group,1.71,very negative: 0.43%; negative: 0.0%; neutral: 98.72%; positive: 0.85%; very positive: 0.0%,very negative: 0.43%; negative: 0.85%; neutral: 94.02%; positive: 3.85%; very positive: 0.85%,very negative: 2.99%; negative: 1.28%; neutral: 80.77%; positive: 8.97%; very positive: 5.98%,very negative: 1.28%; negative: 0.85%; neutral: 94.02%; positive: 2.56%; very positive: 1.28%,very negative: 6.84%; negative: 2.56%; neutral: 76.07%; positive: 9.4%; very positive: 5.13%,very negative: 2.14%; negative: 0.85%; neutral: 93.59%; positive: 1.28%; very positive: 2.14%,very negative: 0.43%; negative: 0.0%; neutral: 97.86%; positive: 1.71%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bluefield Tea Gardens,solo,2.86,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 94.29%; positive: 2.86%; very positive: 2.86%,very negative: 0.0%; negative: 0.0%; neutral: 80.0%; positive: 5.71%; very positive: 14.29%,very negative: 2.86%; negative: 0.0%; neutral: 88.57%; positive: 0.0%; very positive: 8.57%,very negative: 2.86%; negative: 2.86%; neutral: 62.86%; positive: 14.29%; very positive: 17.14%,very negative: 0.0%; negative: 0.0%; neutral: 91.43%; positive: 2.86%; very positive: 5.71%,very negative: 2.86%; negative: 2.86%; neutral: 94.29%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Bluefield Tea Gardens,unknown,0.0,very negative: 0.0%; negative: 0.0%; neutral: 96.25%; positive: 1.25%; very positive: 2.5%,very negative: 1.25%; negative: 0.0%; neutral: 92.5%; positive: 3.75%; very positive: 2.5%,very negative: 1.25%; negative: 5.0%; neutral: 76.25%; positive: 11.25%; very positive: 6.25%,very negative: 1.25%; negative: 0.0%; neutral: 95.0%; positive: 0.0%; very positive: 3.75%,very negative: 6.25%; negative: 7.5%; neutral: 65.0%; positive: 15.0%; very positive: 6.25%,very negative: 0.0%; negative: 0.0%; neutral: 98.75%; positive: 0.0%; very positive: 1.25%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Brief Garden - Bevis Bawa,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 66.67%; positive: 33.33%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 66.67%; positive: 33.33%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Brief Garden - Bevis Bawa,family,0.0,very negative: 0.0%; negative: 0.0%; neutral: 85.71%; positive: 7.14%; very positive: 7.14%,very negative: 4.76%; negative: 2.38%; neutral: 80.95%; positive: 9.52%; very positive: 2.38%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 2.38%; negative: 2.38%; neutral: 85.71%; positive: 7.14%; very positive: 2.38%,very negative: 0.0%; negative: 0.0%; neutral: 92.86%; positive: 7.14%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 92.86%; positive: 7.14%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.62%; positive: 2.38%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
